"","GlossID","Gloss","Translation","Glossing","Lang.","Ling. Type","Gloss Type","Parallels","Chapter","MS"
"Ang.54abis06c","Ang.54abis06c"">",".i. fefellit ordo grecorum romannorum.","'i.e. it has escaped, the order of the Greeks of the Romans'","gl. fugit","la","monolingual","interlinear","AngBCrBViSg","XII","Ang"
"BCr.30a24a","BCr.30a24a"">",".i. fefellit","'i.e. it has escaped'","gl. fugit","la","monolingual","interlinear","AngBCrBViSg","XII","BCr"
"BVi.03a09a","BVi.03a09a"">","fefellit","'it has escaped'","gl. fugit","la","monolingual","interlinear","AngBCrBViSg","XII","BVi"
"Sg.66.22a","Sg.66.22a"">","i. fefellit","'i.e. it has escaped'","gl. fugit","la","monolingual","interlinear","AngBCrBViSg","XII","Sg"
"BVi.03a09b","BVi.03a09b"">",".i. anni","'i.e. of the year'","gl. diem unum","la","monolingual","interlinear","BVi","XII","BVi"
"Ang.54abis07a","Ang.54abis07a"">",".i. cccliiii","'i.e. three hundred fifty-four'","gl. ad graecum numerumad graecum numerum","Numeral","monolingual","interlinear","AngBViBVi","XII","Ang"
"BVi.03a10b","BVi.03a10b"">","cccliiii","'three hundred fifty-four'","gl. ad graecum numerumad graecum numerum","Numeral","monolingual","interlinear","AngBViBVi","XII","BVi"
"BVi.03a10c","BVi.03a10c"">","adgrecum numerum","'to the Greek number'","gl. ad graecum numerumad graecum numerum","la","monolingual","interlinear","AngBViBVi","XII","BVi"
"BVi.03a10a.31","BVi.03a10a.31"">","frisin naraim ngrecdi","'to the Greek number'","gl. ad graecum numerum","sga","monolingual","marginal","BVi","XII","BVi"
"BVi.03a20b31b","BVi.03a20b31b"">","dano","'now'","gl. mensibus","sga","monolingual","interlinear","BVi","XII","BVi"
"BVi.03a20a.31a","BVi.03a20a.31a"">","dia dano","'day then'","gl. diebus","sga","monolingual","interlinear","BVi","XII","BVi"
"Ang.54abis22a","Ang.54abis22a"">","festis termini","'feasts of Terminus'","gl. terminalibus","la","monolingual","interlinear","AngBCrBViSg","XII","Ang"
"BCr.30a50","BCr.30a50"">","id est feris termini hic est plutonis","'i.e. feasts of Terminus; this is of Pluto'","gl. terminalibus","la","monolingual","interlinear","AngBCrBViSg","XII","BCr"
"BVi.03a29.32","BVi.03a29.32"">","feli .i. termini","'feasts i.e. of Terminus'","gl. terminalibus","la & sga","bilingual","interlinear","AngBCrBViSg","XII","BVi"
"Sg.67.08a","Sg.67.08a"">",".i. feriae terminalis.","'i.e. terminal feasts'","gl. terminalibus","la","monolingual","interlinear","AngBCrBViSg","XII","Sg"
"BVi.03a44a","BVi.03a44a"">","xxii horae .i. lethrichtige .i. xii horae doaccomol ad. x. xxii sic:","'twenty-two hours i.e. a half month of thirty days i.e. to add twelve hours to ten; thus, twenty-two.'","gl. xxii","la & sga","bilingual","marginal","BViBVi","XIII","BVi"
"BVi.03a44b","BVi.03a44b"">",".i. horae","'i.e. hours'","gl. xxii","la","monolingual","marginal","BViBVi","XIII","BVi"
"BVi.03b01.35","BVi.03b01.35"">","feroil","'ferial'","gl. classi","sga","monolingual","interlinear","BVi","XIII","BVi"
"Ang.54bbis09b","Ang.54bbis09b"">","exemplum.","'example'","gl. illud numerorum","la","monolingual","interlinear","AngBCrBViSg","XIII","Ang"
"BCr.30b29","BCr.30b29"">","., .i. exemplum","'i.e. example'","gl. illud numerorum","la","monolingual","marginal","AngBCrBViSg","XIII","BCr"
"BVi.03b15","BVi.03b15"">","exemplum","'example'","gl. illud numerorum","la","monolingual","interlinear","AngBCrBViSg","XIII","BVi"
"Sg.67.30","Sg.67.30"">",".i. exemplum","'i.e. example'","gl. illud numerorum","la","monolingual","interlinear","AngBCrBViSg","XIII","Sg"
"BCr.30b03","BCr.30b03"">",".i. templum iouis inquo capita deorum incaelatura fiebant..,","'i.e. the temple of Jupiter, where the heads of the gods used to be made in engravings'","gl. in capitolium","la","monolingual","interlinear","BCrBViSg","XIII","BCr"
"BVi.03a38","BVi.03a38"">",".i. templum idoli","'i.e. a temple of an idol'","gl. in capitolium","la","monolingual","interlinear","BCrBViSg","XIII","BVi"
"Sg.67.15","Sg.67.15"">","templum iouis inquocapita deorum incelatura fiebant","'i.e. the temple of Jupiter, where the heads of the gods used to be made in engravings'","gl. in capitolium","la","monolingual","marginal","BCrBViSg","XIII","Sg"
"Ang.54abis27a","Ang.54abis27a"">",".i. maiori pontifici.","'i.e. to the greater high-priest'","gl. regi sacrificulo","la","monolingual","interlinear","AngBCrBViSg","XIII","Ang"
"BCr.30b01","BCr.30b01"">",".i.regi colenti sacrificia hoc est regi qui sacrificiis perfiebat uel pontifici maiori.,","'i.e. to the king who performs the sacrifices, this is to the king who was made sacrificial or to the greater high-priest'","gl. regi sacrificulo","la","monolingual","interlinear","AngBCrBViSg","XIII","BCr"
"BVi.03a36.33","BVi.03a36.33"">","don prims acard","'to the chief priest'","gl. regi sacrificulo","sga","monolingual","interlinear","AngBCrBViSg","XIII","BVi"
"Sg.67.13b","Sg.67.13b"">","i. regicolenti sacrificia hocem qui sacrifitas prefiebat uel pontificimaiori","'i.e. to the king who performs the sacrifices, that is to the king who was made sacrificial or to the greater high-priest'","gl. regi sacrificulo","la","monolingual","marginal","AngBCrBViSg","XIII","Sg"
"Ang.54abis29a","Ang.54abis29a"">","quia inea uocabatur plebs.","'because in it the people were called'","gl. calabram","la","monolingual","marginal","AngBVi","XIII","Ang"
"BVi.03a39","BVi.03a39"">",".i. plebum loci","'i.e. of the local people'","gl. calabram","la","monolingual","interlinear","AngBVi","XIII","BVi"
"Ang.54bbis17c","Ang.54bbis17c"">","reuententis insuum locum primum.","'returning to its first place'","gl. uertentis ordinauere","la","monolingual","interlinear","AngBVi","XIIII","Ang"
"BVi.03b27","BVi.03b27"">","reuertentis insuum locum","'returning to its place'","gl. uertentis ordinauere","la","monolingual","interlinear","AngBVi","XIIII","BVi"
"Ang.54bbis20b","Ang.54bbis20b"">","primus dies primi mensis et secundus reliqua","'first day of the first month and second etc.'","gl. augescente paulatim","la","monolingual","interlinear","AngBCrBViSg","XIIII","Ang"
"BCr.30b36","BCr.30b36"">","./. .i. sic numerant primus dies primi mensis.secundus dies secundi mensis. reliqua","'i.e. so they count: first day of the first month; second day of the second month; etc.'","gl. augescente paulatim","la","monolingual","marginal","AngBCrBViSg","XIIII","BCr"
"BVi.03b31","BVi.03b31"">",".i. primus dies primi secundus dies secundi","'i.e. first day of the first; second day of the second'","gl. augescente paulatim","la","monolingual","interlinear","AngBCrBViSg","XIIII","BVi"
"Sg.68.06a","Sg.68.06a"">","sicnumerant primus dies primi mensis. secundi dies secundimensis.","'so they count: first day of the first month; second day of the second month; etc.'","gl. augescente paulatim","la","monolingual","marginal","AngBCrBViSg","XIIII","Sg"
"BVi.03b23","BVi.03b23"">","primus dies primi men sis","'first day of the first month'","gl. ab incipiente [...] mensis","la","monolingual","intercolumnar","BVi","XIIII","BVi"
"BVi.03b35a","BVi.03b35a"">","sed dict","''''","gl. ordine a","la","monolingual","interlinear","BVi","XIIII","BVi"
"BVi.03b37a.36","BVi.03b37a.36"">","feilere","'calendar'","gl. annalis","sga","monolingual","interlinear","BVi","XIIII","BVi"
"BCr.30c01","BCr.30c01"">",": apostolorum","'of the apostles'","gl. canones","la","monolingual","interlinear","BCrBVi","XIIII","BCr"
"BVi.03b37b","BVi.03b37b"">","epistula a po stolorum","'letter of the apostles'","gl. canones","la","monolingual","interlinear","BCrBVi","XIIII","BVi"
"BVi.03b39.37","BVi.03b39.37"">","is ala laa deacc dano dó ochtimbir ???","'it is then the twelfth day of October'","gl.","sga","monolingual","interlinear","BVi","XIIII","BVi"
"Ang.54bbis28c","Ang.54bbis28c"">","die","'day'","gl. quarta","la","monolingual","interlinear","AngBVi","XIIII","Ang"
"BVi.03b39a","BVi.03b39a"">",".i. die","'i.e. day'","gl. quarta","la","monolingual","interlinear","AngBVi","XIIII","BVi"
"Ang.54bbis31b","Ang.54bbis31b"">",".i. adiuuatur","'i.e. it is helped'","gl. astipulatur","la","monolingual","interlinear","AngBCrBViSg","XIIII","Ang"
"BCr.30c07","BCr.30c07"">","adiunguitur","'it is added'","gl. astipulatur","la","monolingual","interlinear","AngBCrBViSg","XIIII","BCr"
"BVi.03b43a","BVi.03b43a"">","adiuuatur","'it is helped'","gl. astipulatur","la","monolingual","interlinear","AngBCrBViSg","XIIII","BVi"
"Sg.68.22","Sg.68.22"">",".i. adiuuat.","'i.e. it helps'","gl. astipulatur","la","monolingual","interlinear","AngBCrBViSg","XIIII","Sg"
"BVi.03b43b","BVi.03b43b"">",".i. est","'it is'","gl.","la","monolingual","interlinear","BVi","XIIII","BVi"
"Ang.54bbis37a","Ang.54bbis37a"">",".i. distios et martiis","'i.e. Distios and Martius'","gl. mensis","la","monolingual","interlinear","AngBVi","XIIII","Ang"
"BVi.03c05","BVi.03c05"">","distios et martius","'Distios and Martius'","gl. mensis","la","monolingual","interlinear","AngBVi","XIIII","BVi"
"BVi.03c08","BVi.03c08"">","nun…","'???'","gl. xi kalendarum","","monolingual","interlinear","BVi","XIIII","BVi"
"BVi.03c31.38","BVi.03c31.38"">","tri lida indi .i. embolism in tris lid et iunius et iulius","'three Lida in it, i.e. the embolismic (year), the third Lida and June and July'","gl. id annus ille tri lidi cognominabatur","sga & la","bilingual","interlinear","BVi","XV","BVi"
"BVi.03d18a","BVi.03d18a"">","agimus","'we do/make/act'","gl. gratias","la","monolingual","interlinear","BVi","XV","BVi"
"Ang.55b06b","Ang.55b06b"">","ago","'I do/make/act'","gl. qui","la","monolingual","interlinear","AngBVi","XV","Ang"
"BVi.03d18b","BVi.03d18b"">","ago","'I do/make/act'","gl. qui","la","monolingual","interlinear","AngBVi","XV","BVi"
"Ang.55b21b","Ang.55b21b"">",".i. sagitarius","'i.e. Sagittarius'","gl. architenens","la","monolingual","interlinear","AngBCrBVi","XVI","Ang"
"BCr.30d51","BCr.30d51"">","sagitarius","'Sagittarius'","gl. architenens","la","monolingual","interlinear","AngBCrBVi","XVI","BCr"
"BVi.03d34","BVi.03d34"">","sagittarius","'Sagittarius'","gl. architenens","la","monolingual","interlinear","AngBCrBVi","XVI","BVi"
"BVi.03d35b.39","BVi.03d35b.39"">",".i. rande","'portional'","gl. tropicus","sga","monolingual","interlinear","BVi","XVI","BVi"
"BVi.03d45.76","BVi.03d45.76"">",".i. rosaig cach inalaill","'each one extends into the other'","gl. contingentium obsident","sga","monolingual","interlinear","BVi","XVI","BVi"
"BVi.04a10","BVi.04a10"">","% ·l· sa tius","'or rather'","gl.","la","monolingual","marginal","BVi","XVIIII","BVi"
"BVi.04a09.41","BVi.04a09.41"">","fad di litraib alfabeti","'??? letters of the alphabet twenty-nine twenty-seven'","gl.","sga","monolingual","intercolumnar","BVi","XVIIII","BVi"
"BVi.04a05.40","BVi.04a05.40"">","iss ocht nuara bíte forsna secht laib fíchet dotet cae ndib is in tris … tri ocht as kalenda secht lae fichet (?) dotet ordo","'It is eight hours that are in the twenty-seven days that comes the way [?] from them into the third […] three eights which is the new moon of the twenty-seven days to it, the order comes'","gl. ???","la & sga","bilingual","marginal","BVi","XVIIII","BVi"
"Ang.57b16e","Ang.57b16e"">","doudid cum unam literam.","'two days with one letter'","gl. alternis apposuimus","la & obt","bilingual","interlinear","AngBCrBVi","XVIIII","Ang"
"BCr.31d54","BCr.31d54"">",".i.dallae foróenlittir","'i.e. two days on one letter'","gl. alternis apposuimus","sga","monolingual","marginal","AngBCrBVi","XVIIII","BCr"
"BVi.04a10.42","BVi.04a10.42"">",".i. da lae fri oienlitir","'i.e. two days with one letter'","gl. alternis apposuimus","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BVi"
"Ang.57b26a","Ang.57b26a"">","guilerou.","'calendars'","gl. codice","obt","monolingual","interlinear","AngBCrBVi","XVIIII","Ang"
"BCr.32a12","BCr.32a12"">",".i. félire","'i.e. calendar'","gl. codice","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BCr"
"BVi.04a23a.43","BVi.04a23a.43"">","felere","'calendar'","gl. codice","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BVi"
"Ang.57b26d","Ang.57b26d"">","inquo es.","'in which you are'","gl. diei","la","monolingual","interlinear","AngBCrBVi","XVIIII","Ang"
"BCr.32a13b","BCr.32a13b"">",".i.imbi","'in which you are'","gl. diei","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BCr"
"BVi.04a23b.44","BVi.04a23b.44"">",".i. imbí","'in which you are'","gl. diei","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BVi"
"BCr.32a16","BCr.32a16"">",".i.túas inochtur","'i.e. up above'","gl. ex titulo frontis","sga","monolingual","interlinear","BCrBVi","XVIIII","BCr"
"BVi.04a25.45","BVi.04a25.45"">","tuass inochtor","'up above'","gl. ex titulo frontis","sga","monolingual","interlinear","BCrBVi","XVIIII","BVi"
"Ang.57b34a","Ang.57b34a"">","anparth alall.","'on the other side'","gl. extrema illinc","obt","monolingual","interlinear","AngBCrBVi","XVIIII","Ang"
"BCr.32a28","BCr.32a28"">",".i. dindleithailiu","'from the other side'","gl. extrema illinc","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BCr"
"BVi.04a34.46","BVi.04a34.46"">","di nd leth ailiu","'from the other side'","gl. extrema illinc","sga","monolingual","interlinear","AngBCrBVi","XVIIII","BVi"
"BCr.32a36b","BCr.32a36b"">",".i. crementum leissem","'growth (is) with him'","gl. cremento","la & sga","bilingual","interlinear","BCrBVi","XVIIII","BCr"
"BVi.04a40.47","BVi.04a40.47"">","crementus","'growth'","gl. cremento","la","monolingual","interlinear","BCrBVi","XVIIII","BVi"
"BVi.04a42.48","BVi.04a42.48"">","argu mint","'argument'","gl. argumentum","sga","monolingual","interlinear","BVi","XVIIII","BVi"
"Ang.58a11b","Ang.58a11b"">","super xi.","'on the eleventh'","gl. adde epactas anni","la","monolingual","interlinear","AngBCrBVi","XX","Ang"
"BCr.32a57","BCr.32a57"">",".i. for xi.","'on the eleventh'","gl. adde epactas anni","sga","monolingual","interlinear","AngBCrBVi","XX","BCr"
"BVi.04b10.50","BVi.04b10.50"">","for xi","'on the eleventh'","gl. adde epactas anni","sga","monolingual","interlinear","AngBCrBVi","XX","BVi"
"BCr.32a54","BCr.32a54"">",".i. xi.kalendis aprilis","'i.e. the eleventh calends of April (March 22)'","gl. adde epactas xi fiunt xx uige","la","monolingual","interlinear","BCrBVi","XX","BCr"
"BVi.04b08.49","BVi.04b08.49"">",".i. ar chiunn .i. xi kalendae aprilis .i. anni ar chiun isin libur","'i.e. below i.e. the eleventh calends of April (March 22) i.e. of the year (?) below in the book'","gl. adde epactas xi fiunt xx uige","la & sga","bilingual","interlinear","BCrBVi","XX","BVi"
"Ang.58a13b","Ang.58a13b"">","s.contra dixerit","'it contradicted'","gl. obiecirit","la","monolingual","interlinear","AngBCrBVi","XX","Ang"
"BCr.32b01","BCr.32b01"">",".i. hifrithcheist","'in objection'","gl. obiecirit","sga","monolingual","interlinear","AngBCrBVi","XX","BCr"
"BVi.04b12.51","BVi.04b12.51"">","hi frithcheist","'in objection'","gl. obiecirit","sga","monolingual","interlinear","AngBCrBVi","XX","BVi"
"BCr.32b02","BCr.32b02"">",".i.argumind innasén","'i.e. argument of the signs'","gl. argumenti alicubi ordinem","sga","monolingual","marginal","BCrBVi","XX","BCr"
"BVi.04b13.52","BVi.04b13.52"">","argumint inna sén","'argument of the signs'","gl. argumenti alicubi ordinem","sga","monolingual","interlinear","BCrBVi","XX","BVi"
"Ang.58a15a","Ang.58a15a"">","regularis paginae","'of the Table of Regulars'","gl. argumentum","la","monolingual","interlinear","AngBCrBViSg","XX","Ang"
"BCr.32b07","BCr.32b07"">",".i.paginae regularis","'of the Table of Regulars'","gl. argumentum","la","monolingual","interlinear","AngBCrBViSg","XX","BCr"
"BVi.04b16.53","BVi.04b16.53"">","pagine regularis","'of the Table of Regulars'","gl. argumentum","la","monolingual","interlinear","AngBCrBViSg","XX","BVi"
"Sg.77.06","Sg.77.06"">","i. paginae regu laris","'of the Table of Regulars'","gl. argumentum","la","monolingual","interlinear","AngBCrBViSg","XX","Sg"
"BCr.32b15","BCr.32b15"">",".i. ambas cete .i. acht asrobarthar in mí","'when it is sung i.e. provided that the month is mentioned'","gl. cantato ipso mense","sga","monolingual","marginal","BCrBVi","XX","BCr"
"BVi.04b22.54","BVi.04b22.54"">","ambas cete .i. acht asrobartha inmí","'when it is sung; that is, provided that the month is mentioned'","gl. cantato ipso mense","sga","monolingual","interlinear","BCrBVi","XX","BVi"
"BCr.32b16","BCr.32b16"">",".i.teora bliadin frithriagla namma lessem","'i.e. he has only three irregular years'","gl. autem anni tres circuli decennouenalis","sga","monolingual","interlinear","BCrBVi","XX","BCr"
"BVi.04b23.55","BVi.04b23.55"">",".i. teora bliadni frithriagla","'i.e. three irregular years'","gl. autem anni tres circuli decennouenalis","sga","monolingual","interlinear","BCrBVi","XX","BVi"
"Ang.58a22a","Ang.58a22a"">","quia non explorat argumentum nisi annum saluum","'because it only explores the argument of the whole year'","gl. argumentum stabilitatem","la","monolingual","interlinear","AngBCrBVi","XX","Ang"
"BCr.32b19","BCr.32b19"">",".i.arnitosceli argumint acht bliadni slaín..","'i.e. for the argument only ascertains a whole year'","gl. argumentum stabilitatem","sga","monolingual","marginal","AngBCrBVi","XX","BCr"
"BVi.04b24.56","BVi.04b24.56"">",".i. ar nitoscelai argumint acht bliadni slain","'i.e. for the argument only ascertains a whole year'","gl. argumentum stabilitatem","sga","monolingual","interlinear","AngBCrBVi","XX","BVi"
"Ang.58a23e","Ang.58a23e"">","infine ogdad.","'in the end of the ogdoad'","gl. octauus","la","monolingual","interlinear","AngBVi","XX","Ang"
"BVi.04b25a","BVi.04b25a"">","finis ogdad","'end of the ogdoad'","gl. octauus","la","monolingual","interlinear","AngBVi","XX","BVi"
"BVi.04b25b","BVi.04b25b"">","argument???","'argument'","gl. ximus et xixmus","la","monolingual","interlinear","BVi","XX","BVi"
"Ang.58a32","Ang.58a32"">","finis circuli est","'it is the end of the cycle'","gl. anno","la","monolingual","interlinear","AngBCrBVi","XX","Ang"
"BCr.32b32","BCr.32b32"">",".i. forcenn noidecdi","'end of the nineteen-year cycle'","gl. anno","sga","monolingual","marginal","AngBCrBVi","XX","BCr"
"BVi.04b36.57","BVi.04b36.57"">","forcenn","'end'","gl. anno","sga","monolingual","interlinear","AngBCrBVi","XX","BVi"
"Ang.58a37h","Ang.58a37h"">","egiptii in .iiii. kalendis augustarum","'of Egyptian in the fourth calends of August'","gl. saltus amisso","la","monolingual","interlinear","AngBCrBVi","XX","Ang"
"BCr.32b44","BCr.32b44"">",".i. hi.iiii. kalendis septembris","'i.e. in the fourth calends of September'","gl. saltus amisso","la & sga","bilingual","interlinear","AngBCrBVi","XX","BCr"
"BVi.04b45.58","BVi.04b45.58"">","egiptacdae .i. iiii kalendae","'Egyptian i.e. the fourth calends'","gl. saltus amisso","la & sga","bilingual","interlinear","AngBCrBVi","XX","BVi"
"Ang.58b06c","Ang.58b06c"">","egiptiorum","'of Egyptians'","gl. argumentum a septembrio","la","monolingual","interlinear","AngBVi","XX","Ang"
"BVi.04c09.59","BVi.04c09.59"">","o thosuch bliadne egiptacdae","'from the beginning of the Egyptian year'","gl. argumentum a septembrio","sga","monolingual","interlinear","AngBVi","XX","BVi"
"BVi.04c10.60","BVi.04c10.60"">","aetas lunae for kalendis mís egiptacdai inso","'this is the age of the moon on the calends of the Egyptian month'","gl. septimbrio regulares u octimbro","la & sga","bilingual","interlinear","BVi","XX","BVi"
"BVi.04c11.61","BVi.04c11.61"">","la … tum for ix","'... on the ninth'","gl. caetera ut supra","sga","monolingual","interlinear","BVi","XX","BVi"
"BVi.04c12","BVi.04c12"">","ix","'nine'","gl. nos","Numeral","monolingual","interlinear","BVi","XX","BVi"
"BCr.32c12","BCr.32c12"">",".i. condib ó kalendis ianuaris","'so that it is from the calends of January'","gl. apud romanos incipiat","la & sga","monolingual","interlinear","BCrBVi","XX","BCr"
"BVi.04c18.63","BVi.04c18.63"">",".i. condib o kalendis ianuariis do inscanna","'so that it is from the calends of January it may begin'","gl. apud romanos incipiat","la & sga","bilingual","interlinear","BCrBVi","XX","BVi"
"BCr.32c10","BCr.32c10"">","méit nándrithberr","'as far as it does not oppose'","gl. non [...] obsistit","sga","monolingual","marginal","BCrBVi","XX","BCr"
"BVi.04c17.62","BVi.04c17.62"">","metnadfrithber","'as far as it does not oppose'","gl. non [...] obsistit","sga","monolingual","interlinear","BCrBVi","XX","BVi"
"BCr.32c16","BCr.32c16"">",".i. supradicto","'i.e. said in addition'","gl. huic tradunt","la","monolingual","interlinear","BCrBVi","XXI","BCr"
"BVi.04c21a","BVi.04c21a"">","supradicto","'said in addition'","gl. huic tradunt","la","monolingual","interlinear","BCrBVi","XXI","BVi"
"BCr.32c15b","BCr.32c15b"">",".i.dofis cid lae sechtmaine forambí kalendis caich mís cucenn cicuil griendi","'to find out what day of the week it is on which the calends of every month are to the end of the solar cycle'","gl. argumentum ad inueniendam","la & sga","bilingual","interlinear","BCrBVi","XXI","BCr"
"BVi.04c21b.64","BVi.04c21b.64"">","do fius cid lae sechtmaine forsombi kalendae cach mís cocenn m bliadne","'to find out what (is) the day of the week on which the calends of every month are to the end of the year'","gl. argumentum ad inueniendam","la & sga","bilingual","interlinear","BCrBVi","XXI","BVi"
"BCr.32c20a","BCr.32c20a"">","it saini riaglori inso","'these are different regulars'","gl. aliis utens regularibus","sga","monolingual","interlinear","BCrBVi","XXI","BCr"
"BVi.04c23a.65","BVi.04c23a.65"">","it saini riaglori inso","'these are different regulars'","gl. aliis utens regularibus","sga","monolingual","interlinear","BCrBVi","XXI","BVi"
"BCr.32c20b","BCr.32c20b"">","./ supradicto","'said in addition'","gl. per epactas","la","monolingual","marginal","BCrBViBVi","XXI","BCr"
"BVi.04c23b","BVi.04c23b"">",".i. supradicto","'said in addition'","gl. per epactas","la","monolingual","interlinear","BCrBViBVi","XXI","BVi"
"BVi.04c23b.66","BVi.04c23b.66"">",".i. bite for ·xi·","'i.e. which are usually on the eleventh'","gl. per epactas","sga","monolingual","intercolumnar","BCrBViBVi","XXI","BVi"
"Ang.58b15b","Ang.58b15b"">",".i. praesenti argumento.","'i.e. for the present formula'","gl. concurrentes","la","monolingual","interlinear","AngBCrBVi","XXI","Ang"
"BCr.32c21","BCr.32c21"">","argumentum","'formula'","gl. concurrentes","la","monolingual","interlinear","AngBCrBVi","XXI","BCr"
"BVi.04c24a","BVi.04c24a"">","argumento","'formula'","gl. concurrentes","la","monolingual","interlinear","AngBCrBVi","XXI","BVi"
"BVi.04c24b.67","BVi.04c24b.67"">","do buith uiiii kalendae foraib","'i.e. the ninth before the calends to be on them'","gl. in illo facias per concureentes septima","la & sga","bilingual","interlinear","BVi","XXI","BVi"
"BVi.04c33.69","BVi.04c33.69"">",".i. biith doith forlaim","'it is wont to be ready at hand (?)'","gl. anno bissextili","sga","monolingual","interlinear","BVi","XXI","BVi"
"Ang.58b27","Ang.58b27"">","i. ot. a te.","'Put from you!'","gl. tolle","la & obt","monolingual","interlinear","AngBCrBVi","XXI","Ang"
"BCr.32c50","BCr.32c50"">",".i. cuire huait","'Put from you!'","gl. tolle","sga","monolingual","interlinear","AngBCrBVi","XXI","BCr"
"BVi.04c43.70","BVi.04c43.70"">","cuire huait","'Put from you!'","gl. tolle","sga","monolingual","interlinear","AngBCrBVi","XXI","BVi"
"BCr.32c27","BCr.32c27"">",".i. cid lae sechtmaine","'What is the day of the week?'","gl. quota sit feria","sga","monolingual","interlinear","BCrBVi","XXI","BCr"
"BVi.04c28.68","BVi.04c28.68"">","cid lae sechtmaine","'What is the day of the week?'","gl. quota sit feria","sga","monolingual","interlinear","BCrBVi","XXI","BVi"
"BVi.04d08.72","BVi.04d08.72"">","issi insin aram índi a cuirethar fobith is noichtech ocus XXX file isind argumint sin","'i.e. that is the number in it, what he puts, because it is a period of twenty-nine days and (it is) thirty which is in that argument. [?]'","gl. partite omnia per lix etsi aplius xxx remanserit","sga","monolingual","interlinear","BVi","XXII","BVi"
"BVi.04d10.73","BVi.04d10.73"">",".i. ocus niairmisiu allae nisin","'i.e. and you do not reckon that day'","gl. ???","sga","monolingual","marginal","BVi","XXII","BVi"
"BVi.04d06.71","BVi.04d06.71"">","% dober frit a lin lae óthus bliadne con rici a lae frecndairc inbí","'there is added to it the number of days from the beginning of the year until you reach the present day in which you are'","gl. ???","sga","monolingual","intercolumnar","BVi","XXII","BVi"
"BVi.04d26.74","BVi.04d26.74"">","% dindrala huait cxuiii dofuarat latt oienar .i. nonus ocus x condid .xi.","'if 118 happens to be (taken) from your starting point [i.e. 120], it remains with you from January, i.e. the ninth (day of the moon) and the tenth (day of the moon) so that it is the eleventh (day of the moon)'","gl.","la & sga","bilingual","intercolumnar","BVi","XXII","BVi"
"Ang.59a13c","Ang.59a13c"">","iseith nec guarcant.","'it is hundred and eighteen'","gl. cendecusoctus","obt","monolingual","interlinear","AngBCrBVi","XXII","Ang"
"BCr.32d40a","BCr.32d40a"">","/. .i.aocht deac ar chét","'i.e. a hundred and eighteen'","gl. cendecusoctus","sga","monolingual","marginal","AngBCrBVi","XXII","BCr"
"BVi.04d27.75","BVi.04d27.75"">",".i. a ocht deac ar chét","'i.e. a hundred and eighteen'","gl. cendecusoctus","sga","monolingual","interlinear","AngBCrBVi","XXII","BVi"
"Ang.59a15","Ang.59a15"">",".i. dies","'i.e. day'","gl. xu","la","monolingual","interlinear","AngBVi","XXII","Ang"
"BVi.04d30","BVi.04d30"">",".i. dies","'i.e. day'","gl. xu","la","monolingual","interlinear","AngBVi","XXII","BVi"
"BVi.04d31","BVi.04d31"">","xuiii","'eighteen'","gl. cxiix","Numeral","monolingual","interlinear","BVi","XXII","BVi"
